Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772148049824,3228,3228,3228,3228,3228,3228,3228,3228,56.706275939941406,56.81151580810547,60.536643981933594,60.895408630371094,57.28050231933594,55.1829719543457,60.41743850708008,58.873531341552734,55.7443733215332,55.92864227294922,50,NaN,50,0,50,0,0,0,24.219085693359375,17179869184,6442450944,13148274688,5249040384
203,1772148049824,3228,3228,3228,3228,3228,3228,3228,3228,56.706275939941406,56.81151580810547,60.536643981933594,60.895408630371094,57.28050231933594,55.1829719543457,60.41743850708008,58.873531341552734,55.7443733215332,55.92864227294922,100,100,NaN,100,NaN,0,NaN,0,24.219085693359375,17179869184,6442450944,13148274688,5249040384
205,1772148050027,3228,3228,3228,3228,3228,3228,3228,3228,56.38575744628906,56.466678619384766,58.015220642089844,59.467079162597656,56.548423767089844,55.084327697753906,60.00642013549805,58.38581848144531,55.60762405395508,55.93708801269531,100,95.23809814453125,68.18181610107422,45,33.333335876464844,33.333335876464844,15.000000953674316,5,24.219085693359375,17179869184,6442450944,13148274688,5249040384
202,1772148050232,3228,3228,3228,3228,3228,3228,3228,3228,56.38575744628906,56.466678619384766,58.015220642089844,59.467079162597656,56.548423767089844,55.084327697753906,60.00642013549805,58.38581848144531,55.60762405395508,55.93708801269531,95.45454406738281,95.23809814453125,73.68421173095703,55,45,47.619049072265625,31.81818199157715,23.809524536132813,24.219085693359375,17179869184,6442450944,13148274688,5249040384
204,1772148050435,3228,3228,3228,3228,3228,3228,3228,3228,56.38575744628906,56.466678619384766,58.015220642089844,59.467079162597656,56.548423767089844,55.084327697753906,60.00642013549805,58.38581848144531,55.60762405395508,55.93708801269531,100,100,71.42857360839844,50,26.3157901763916,50,25,20,24.219085693359375,17179869184,6442450944,13100695552,5249040384
203,1772148050640,3228,3228,3228,3228,3228,3228,3228,3228,56.38575744628906,56.466678619384766,58.015220642089844,59.467079162597656,56.548423767089844,55.084327697753906,60.00642013549805,58.38581848144531,55.60762405395508,55.93708801269531,85.71428680419922,85.71428680419922,73.68421173095703,22.72727394104004,9.523809432983398,4.761904716491699,0,0,24.312044143676758,17179869184,6442450944,13107593216,5249040384
201,1772148050844,3228,3228,3228,3228,3228,3228,3228,3228,56.38575744628906,56.466678619384766,58.015220642089844,59.467079162597656,56.548423767089844,55.084327697753906,60.00642013549805,58.38581848144531,55.60762405395508,55.93708801269531,75,85,61.904762268066406,36.842105865478516,19.047618865966797,5.263157844543457,5,4.761904716491699,24.312044143676758,17179869184,6442450944,13107593216,5249040384
204,1772148051045,3228,3228,3228,3228,3228,3228,3228,3228,56.8698616027832,56.39657974243164,59.819000244140625,60.6515007019043,56.562705993652344,55.364654541015625,59.79785919189453,58.24370193481445,55.679141998291016,56.14720153808594,80,85,25,25,10,14.285715103149414,5,9.523809432983398,24.312044143676758,17179869184,6442450944,13107593216,5249040384
202,1772148051250,3228,3228,3228,3228,3228,3228,3228,3228,56.8698616027832,56.39657974243164,59.819000244140625,60.6515007019043,56.562705993652344,55.364654541015625,59.79785919189453,58.24370193481445,55.679141998291016,56.14720153808594,90,90.47618865966797,65,57.894737243652344,50,40,35,16.666667938232422,24.312044143676758,17179869184,6442450944,13107593216,5249040384
204,1772148051453,3228,3228,3228,3228,3228,3228,3228,3228,56.8698616027832,56.39657974243164,59.819000244140625,60.6515007019043,56.562705993652344,55.364654541015625,59.79785919189453,58.24370193481445,55.679141998291016,56.14720153808594,95,95,73.68421173095703,60.000003814697266,50,40,38.095237731933594,28.571430206298828,24.312044143676758,17179869184,6442450944,12838469632,5249040384
200,1772148051657,3228,3228,3228,3228,3228,3228,3228,3228,56.8698616027832,56.39657974243164,59.819000244140625,60.6515007019043,56.562705993652344,55.364654541015625,59.79785919189453,58.24370193481445,55.679141998291016,56.14720153808594,95.23809814453125,95.23809814453125,73.68421173095703,70,68.42105102539063,63.15789031982422,52.6315803527832,45,20.607938766479492,17179869184,6442450944,13200556032,5249040384
200,1772148051858,3228,3228,3228,3228,3228,3228,3228,3228,56.8698616027832,56.39657974243164,59.819000244140625,60.6515007019043,56.562705993652344,55.364654541015625,59.79785919189453,58.24370193481445,55.679141998291016,56.14720153808594,100,100,89.47368621826172,85,76.19047546386719,73.68421173095703,70,65,20.607938766479492,17179869184,6442450944,13201866752,5249040384
204,1772148052058,3228,3228,3228,3228,3228,3228,3228,3228,58.50381088256836,58.9340934753418,61.66230010986328,64.00118255615234,60.14751434326172,57.395606994628906,63.60689163208008,63.082767486572266,59.3873176574707,58.47509765625,100,100,75,68.42105102539063,63.15789031982422,55,42.105262756347656,42.105262756347656,20.607938766479492,17179869184,6442450944,13201866752,5249040384
204,1772148052263,3228,3228,3228,3228,3228,3228,3228,3228,58.50381088256836,58.9340934753418,61.66230010986328,64.00118255615234,60.14751434326172,57.395606994628906,63.60689163208008,63.082767486572266,59.3873176574707,58.47509765625,100,100,90,80.95238494873047,75,76.19047546386719,84.21052551269531,66.66667175292969,20.607938766479492,17179869184,6442450944,13201866752,5249040384
198,1772148052471,3228,3228,3228,3228,3228,3228,3228,3228,58.50381088256836,58.9340934753418,61.66230010986328,64.00118255615234,60.14751434326172,57.395606994628906,63.60689163208008,63.082767486572266,59.3873176574707,58.47509765625,100,100,76.19047546386719,75,65,60.000003814697266,57.142860412597656,42.105262756347656,20.607938766479492,17179869184,6442450944,13343064064,5249040384
203,1772148052670,3228,3228,3228,3228,3228,3228,3228,3228,58.50381088256836,58.9340934753418,61.66230010986328,64.00118255615234,60.14751434326172,57.395606994628906,63.60689163208008,63.082767486572266,59.3873176574707,58.47509765625,100,100,66.66667175292969,63.15789031982422,57.894737243652344,44.4444465637207,40,30.000001907348633,19.605430603027344,17179869184,6442450944,13382975488,5249040384
200,1772148052873,3228,3228,3228,3228,3228,3228,3228,3228,58.50381088256836,58.9340934753418,61.66230010986328,64.00118255615234,60.14751434326172,57.395606994628906,63.60689163208008,63.082767486572266,59.3873176574707,58.47509765625,100,100,65,63.15789031982422,55,50,40,33.333335876464844,19.605430603027344,17179869184,6442450944,13189349376,5249040384
202,1772148053074,3228,3228,3228,3228,3228,3228,3228,3228,59.88146209716797,59.953773498535156,63.59935760498047,66.00435638427734,61.719482421875,58.705078125,65.49281311035156,65.12550354003906,60.85087585449219,60.307090759277344,100,100,85,76.19047546386719,78.94737243652344,65,55,42.105262756347656,19.605430603027344,17179869184,6442450944,12962398208,5249040384
204,1772148053276,3228,3228,3228,3228,3228,3228,3228,3228,59.88146209716797,59.953773498535156,63.59935760498047,66.00435638427734,61.719482421875,58.705078125,65.49281311035156,65.12550354003906,60.85087585449219,60.307090759277344,100,100,89.47368621826172,89.47368621826172,85,84.21052551269531,75,70,19.605430603027344,17179869184,6442450944,12873170944,5249040384
200,1772148053480,3228,3228,3228,3228,3228,3228,3228,3228,59.88146209716797,59.953773498535156,63.59935760498047,66.00435638427734,61.719482421875,58.705078125,65.49281311035156,65.12550354003906,60.85087585449219,60.307090759277344,100,100,75,65,55,50,40,30.000001907348633,19.605430603027344,17179869184,6442450944,12857016320,5249040384
201,1772148053682,3228,3228,3228,3228,3228,3228,3228,3228,59.88146209716797,59.953773498535156,63.59935760498047,66.00435638427734,61.719482421875,58.705078125,65.49281311035156,65.12550354003906,60.85087585449219,60.307090759277344,100,100,70,63.15789031982422,55,55,42.105262756347656,40,23.592105865478516,17179869184,6442450944,12880871424,5249040384
204,1772148053883,3228,3228,3228,3228,3228,3228,3228,3228,59.88146209716797,59.953773498535156,63.59935760498047,66.00435638427734,61.719482421875,58.705078125,65.49281311035156,65.12550354003906,60.85087585449219,60.307090759277344,100,100,68.42105102539063,63.15789031982422,55,47.36842346191406,36.842105865478516,30.000001907348633,23.592105865478516,17179869184,6442450944,12920504320,5249040384
200,1772148054088,3228,3228,3228,3228,3228,3228,3228,3228,59.91790008544922,60.28683853149414,63.57020568847656,65.64380645751953,61.85643768310547,58.82490921020508,65.36848449707031,65.05731964111328,60.84025192260742,60.45103454589844,100,100,95,90,85,76.19047546386719,70,65,23.592105865478516,17179869184,6442450944,13049380864,5249040384
208,1772148054289,3228,3228,3228,3228,3228,3228,3228,3228,59.91790008544922,60.28683853149414,63.57020568847656,65.64380645751953,61.85643768310547,58.82490921020508,65.36848449707031,65.05731964111328,60.84025192260742,60.45103454589844,100,100,90,85,94.73684692382813,78.94737243652344,71.42857360839844,57.894737243652344,23.592105865478516,17179869184,6442450944,13076267008,5249040384
199,1772148054503,3228,3228,3228,3228,3228,3228,3228,3228,59.91790008544922,60.28683853149414,63.57020568847656,65.64380645751953,61.85643768310547,58.82490921020508,65.36848449707031,65.05731964111328,60.84025192260742,60.45103454589844,100,100,95.23809814453125,95.45454406738281,100,95.23809814453125,100,95.23809814453125,25.124631881713867,17179869184,6442450944,13441400832,5249040384
202,1772148054703,3228,3228,3228,3228,3228,3228,3228,3228,59.91790008544922,60.28683853149414,63.57020568847656,65.64380645751953,61.85643768310547,58.82490921020508,65.36848449707031,65.05731964111328,60.84025192260742,60.45103454589844,100,100,85,78.94737243652344,71.42857360839844,70,57.894737243652344,47.619049072265625,25.124631881713867,17179869184,6442450944,13433143296,5249040384
10,1772148054906,3228,3228,3228,3228,3228,3228,3228,3228,59.91790008544922,60.28683853149414,63.57020568847656,65.64380645751953,61.85643768310547,58.82490921020508,65.36848449707031,65.05731964111328,60.84025192260742,60.45103454589844,100,100,65,61.904762268066406,55,42.85714340209961,14.285715103149414,10,25.124631881713867,17179869184,6442450944,13347749888,5249040384
